Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
CLB,Core Laboratories,28.21,4678.0,0.4724,1.293,1.731,0.0217,4911613.0,3.0,41600.0,94.26,-0.0392
CLCT,Collectors Universe,13.84,1108.0,0.5888,5.87,4.05,0.0456,2881353.0,8.0,22026.0,24.69,-0.0171
CLDT,Chatham Lodging,1.249,3883.0,0.0378,0.0638,4.023,0.0733,3581553.0,6.0,84711.0,21.59,0.0849
CLFD,Clearfield,3.005,7937.0,0.0831,3.4,2.806,0.0255,5409403.0,2.0,19370.0,13.9,0.057
CLGX,CoreLogic,3.763,22482.0,0.0906,1.085,2.405,0.0753,3877978.0,6.0,39530.0,46.89,0.1049
CLH,Clean Harbors,2.93,23298.0,-0.0169,0.4687,-0.8354,0.0212,3041807.0,6.0,32260.0,56.45,0.0371
CLLDY,CapitaLand,0.4232,27052.0,0.0887,2.299,7.142,0.1655,108567.0,7.0,54220.0,5.33,0.027
CLNS,Colony NorthStar,0.9281,14890.0,0.0286,0.0495,-0.3507,-0.1659,2803.0,9.0,69290.0,12.55,-0.1068
CLPBY,Coloplast,23.58,39213.0,0.6648,1.326,2.597,0.0189,893405.0,6.0,17980.0,8.475,0.026
CLR,Continental Resources,3.224,53257.0,-0.0337,0.0513,-1.215,0.0091,2348.0,2.0,13710.0,36.55,0.1941
CLR.TO,Clearwater Seafoods,3.444,2969.0,0.1866,0.6223,5.402,-0.0347,1127631.0,3.0,57989.0,9.07,-0.1952
CLS.TO,Celestica,1.321,14582.0,0.1065,5.216,9.81,0.1203,1894915.0,6.0,22680.0,15.79,-0.0788
CLW,Clearwater Paper,1.562,4893.0,0.0542,0.4406,3.352,-0.0048,814059.0,2.0,75511.0,45.95,0.02
CLX,Clorox,30.75,75200.0,1.945,1.796,4.135,0.0375,8347372.0,5.0,16670.0,129.14,-0.0346
CM.TO,Canadian Imperial Bank,1.736,14890.0,0.1858,2.307,11.58,0.0678,1408.0,6.0,48670.0,111.11,0.0447
CMA,Comerica,1.695,14890.0,0.0915,1.597,6.242,0.0609,1761.0,9.0,13530.0,76.92,0.0376
CMAKY,CMBC,0.6459,14890.0,0.1417,0.7885,34.01,-0.3536,24737.0,5.0,34660.0,9.5,-0.0355
CMC,Commercial Metals,1.542,17342.0,0.0554,1.413,3.496,-0.0553,1825.0,8.0,21860.0,18.88,-0.0318
CMCM,Cheetah Mobile,2.6,10794.0,0.073,11.47,1.617,0.0415,1089.0,2.0,12220.0,8.51,-0.1926
CMCO,Columbus McKinnon,2.37,6931.0,0.0449,1.805,1.626,0.0677,1144263.0,9.0,86270.0,38.13,0.5425
CMCSA,Comcast,3.257,14820.0,0.1776,0.5736,5.044,0.0495,2434.0,8.0,179160.0,38.01,-0.0063
CMCT,CIM Commercial Trust,1.506,3405.0,0.3045,0.0463,-0.9904,0.0092,279381.0,8.0,97231.0,16.8,0.0533
CMD,Cantel Medical,7.748,9773.0,0.1471,2.362,1.758,0.0201,198495.0,5.0,40590.0,97.28,0.3021
CME,CME Group,2.245,73250.0,0.0799,2.28,3.461,0.0364,1169.0,8.0,46640.0,137.2,0.1092
CMG,Chipotle Mexican Grill,6.048,22040.0,0.095,0.8823,1.535,0.0187,1226.0,3.0,87710.0,307.64,-0.2547
CMG.TO,Computer Modelling Group,12.87,14890.0,0.3763,1.128,2.887,0.0211,7352667.0,6.0,77538.0,9.7,-0.0664
CMI,Cummins,3.85,12490.0,0.2105,1.338,4.173,0.0492,1081.0,9.0,28850.0,172.11,0.0481
CMO,Capstead Mortgage,0.8955,14890.0,0.0699,1.109,6.256,0.2314,601713.0,5.0,92837.0,9.66,-0.0756
CMP,Compass Minerals Intl,3.233,4490.0,0.1744,0.2048,5.505,0.0079,4540367.0,4.0,22430.0,66.3,0.02
CMPR,Cimpress,43.09,28518.0,-0.6271,1.101,-1.196,0.0138,1708813.0,4.0,32310.0,103.23,0.1018
CMPVF,CompuGroup Medical SE,9.966,12808.0,0.2133,1.838,1.951,0.0194,2417.0,7.0,25420.0,51.12,0.0
CMRE,Costamare,0.5301,7784.0,0.052,0.0511,10.51,0.291,6241465.0,2.0,63700.0,6.01,-0.1687
CMS,CMS Energy,2.93,81900.0,0.1289,0.0906,4.562,0.0036,1841.0,7.0,13040.0,46.3,0.0131
CMTDF,Sumitomo Mitsui Trust,0.6172,14890.0,0.0824,1.065,13.67,-0.4523,19667.0,6.0,13670.0,35.74,0.002
CMTL,Comtech Telecomms,1.013,6041.0,0.0337,4.422,3.249,0.1208,2860375.0,9.0,48634.0,20.62,0.0945
CNA,CNA Financial,1.137,14890.0,0.0934,7.17,8.142,0.0853,2355659.0,9.0,13680.0,50.48,0.0415
CNBKA,Century Bancorp,1.823,14890.0,0.1133,1.132,6.476,0.0539,1231437.0,9.0,46408.0,83.35,0.323
CNC,Centene,2.65,20850.0,0.1357,13.64,4.152,0.1517,1649.0,8.0,16900.0,98.01,0.2297
CNCXY,CANCOM,2.713,8177.0,0.1268,5.799,4.305,0.0127,0.0,4.0,90087.0,13.76,0.0
CNK,Cinemark Holdings,3.316,46280.0,0.2166,0.431,6.153,0.0189,1520.0,3.0,43890.0,37.68,0.0083
CNMD,Conmed,2.601,10465.0,0.0269,1.657,1.032,0.0366,9586277.0,7.0,15150.0,54.24,0.0756
CNOB,ConnectOne Bancorp,1.454,14890.0,0.0565,1.664,4.889,0.0907,1547027.0,7.0,79398.0,24.8,0.0949
CNP,CenterPoint Energy,3.494,11110.0,0.1741,0.1708,4.412,0.0132,2906.0,8.0,12450.0,28.88,0.0587
CNQ.TO,Canadian Natural,1.613,18560.0,0.0575,0.0656,2.013,0.0468,2290.0,5.0,49970.0,41.12,0.1156
CNR.TO,Canadian National Railway,5.038,25680.0,0.2614,0.0989,5.042,0.0387,1154.0,8.0,75820.0,100.96,-0.0438
CNS,Cohen & Steers,6.51,5224.0,0.3557,5.982,5.01,0.0295,1183891.0,3.0,18880.0,40.78,-0.0015
CNSL,Consolidated Comms Hldgs,11.11,9957.0,0.0034,0.1626,-0.9545,0.0746,5490387.0,3.0,14200.0,20.05,-0.0596
CNTY,Century Casinos,1.442,1802.0,0.0675,0.2619,4.364,0.0695,5439483.0,5.0,20187.0,8.25,0.1029
CNX,Consol Energy,0.9663,52463.0,-0.038,0.1097,-0.1539,0.04,3080.0,2.0,38120.0,16.57,0.1249
CNXN,PC Connection,1.66,9967.0,0.1093,19.16,6.281,-0.005,4549653.0,5.0,75907.0,28.34,0.0751
CO,China Cord Blood,3.177,2616.0,0.0889,0.4075,2.51,-0.0006,3439688.0,10.0,13640.0,11.31,0.1436
COBZ,CoBiz Financial,2.524,14890.0,0.1226,3.671,4.57,0.0498,1353737.0,8.0,80632.0,19.3,0.128
CODI,Compass Diversified Hldgs,1.42,10972.0,0.0321,2.044,-1.918,0.0659,1386234.0,5.0,10870.0,18.15,0.0614
COF,Capital One Financial,0.8568,14890.0,0.0756,1.775,9.693,0.2652,2647.0,6.0,42100.0,87.04,0.06
COG,Cabot Oil & Gas,4.501,30923.0,-0.0643,0.1079,1.21,0.0134,5170.0,6.0,11890.0,25.71,0.0598
COH,Coach,3.749,75450.0,0.2093,1.676,5.247,0.0507,3363.0,6.0,11260.0,39.83,-0.1467
COHU,Cohu,2.516,3713.0,0.0797,2.879,2.94,0.0175,3040647.0,9.0,66573.0,23.81,0.5175
COKE,Coca-Cola Bottling Co,7.341,41518.0,0.1701,1.19,2.234,0.0469,3316053.0,8.0,20430.0,218.91,-0.0251
COL,Rockwell Collins,3.853,57000.0,0.2433,1.767,3.823,0.0375,3278.0,9.0,21590.0,132.62,0.2583
COLB,Columbia Banking System,1.89,14890.0,0.0899,0.7471,5.634,0.0551,2927209.0,7.0,24510.0,41.99,0.0598
COLM,Columbia Sportswear,2.824,18086.0,0.1269,1.41,4.303,0.0631,1356885.0,5.0,43680.0,62.62,0.1029
COMM,CommScope Holding Co,4.243,47278.0,0.1678,2.473,4.436,0.0673,1241.0,6.0,64480.0,33.4,-0.1162
CONN,Conn's,1.66,19434.0,-0.0042,2.337,-0.2147,0.165,7312862.0,10.0,87223.0,27.95,0.5702
COO,The Cooper Companies,3.812,35620.0,0.1207,0.6242,2.888,0.0383,5590177.0,8.0,11790.0,241.33,0.0218
COP,ConocoPhillips,1.963,46330.0,-0.1127,0.1754,0.5212,0.0389,5932.0,6.0,59460.0,48.86,0.1281
COR,CoreSite Realty,12.7,8228.0,0.2103,0.0914,1.541,-0.0126,4983196.0,9.0,38660.0,112.93,0.1326
CORE,Core-Mark Holding Co,2.843,18610.0,0.079,18.39,2.749,-0.0033,2006653.0,3.0,15000.0,32.38,0.0182
CORR,CorEnergy Infr Trust,1.206,14890.0,0.0973,0.0326,7.156,0.1196,830511.0,7.0,41434.0,34.81,0.0379
CORT,Corcept Therapeutics,34.92,3478.0,0.5658,88.79,0.9818,0.0156,1534.0,10.0,23100.0,20.37,0.7118
COST,Costco Wholesale,6.939,56030.0,0.2193,1.655,3.87,0.0311,3298.0,5.0,68680.0,157.09,0.0
COTY,Coty,1.357,13660.0,-0.072,1.406,0.4422,0.0298,5606.0,2.0,12640.0,16.88,-0.1016
CP.TO,Canadian Pacific Railway,5.663,13980.0,0.3371,0.0985,5.394,0.0371,334214.0,5.0,30200.0,206.73,-0.018
CPA,Copa Holdings,2.715,37092.0,0.1788,0.2154,6.123,0.1221,2413764.0,9.0,53460.0,126.9,0.0513
CPAC,Cementos Pacasmayo,2.751,3426.0,0.0549,0.1226,1.993,0.0284,611653.0,8.0,14110.0,12.95,0.136
CPB,Campbell Soup,8.533,71500.0,0.5758,0.6896,7.308,0.0667,3095.0,3.0,13970.0,46.48,-0.1006
CPE,Callon Petroleum,1.216,6532.0,0.0705,0.0362,5.621,-0.0444,6773.0,2.0,22080.0,10.94,0.0459
CPG.TO,Crescent Point Energy,0.5487,45730.0,-0.0429,0.055,-8.454,-0.0002,2556.0,1.0,52910.0,9.7,0.0319
CPIX,Cumberland,1.691,6998.0,-0.098,16.77,-6.206,-0.0162,146894.0,9.0,11271.0,7.09,0.0129
CPK,Chesapeake Utilities,2.786,6041.0,0.0948,0.1209,3.24,-0.0504,5821653.0,8.0,12860.0,78.7,0.0465
CPKF,Chesapeake Financial,1.306,14890.0,0.0959,0.7255,6.948,0.0415,110677.0,8.0,10920.0,26.95,-0.0019
CPL,CPFL Energia,3.477,33284.0,0.0948,0.6035,3.283,0.0551,1989615.0,7.0,87850.0,17.26,0.0801
CPLA,Capella Education,3.639,6122.0,0.2195,3.099,5.164,0.0627,438015.0,6.0,81820.0,70.1,-0.1625
CPN,Calpine,1.789,25300.0,0.0151,0.1606,0.4825,0.132,9366.0,6.0,53590.0,14.86,0.1198
CPRT,Copart,7.406,16746.0,0.4302,0.4077,4.696,0.0383,1315.0,8.0,81320.0,35.24,0.1581
CPS,Cooper-Standard Holdings,2.586,17224.0,0.2083,1.052,8.862,0.0605,1267389.0,5.0,20450.0,115.32,0.1708
CPSI,CPSI,2.67,3688.0,0.0346,5.37,1.283,0.064,8234637.0,7.0,41817.0,30.4,-0.044
CPT,Camden Property Trust,2.736,14890.0,0.1335,0.0379,2.946,0.0108,8732185.0,6.0,81010.0,92.41,0.0785
CPTA,Capitala Finance,0.6116,14890.0,0.0219,1.109,14.5,0.8571,1498258.0,2.0,14556.0,9.15,-0.3068
CPX.TO,Capital Power,0.8427,16800.0,0.0902,0.0493,9.832,0.0008,2457895.0,8.0,25640.0,24.77,0.0282
CR,Crane,3.645,25820.0,0.1056,2.473,2.679,0.0602,2984024.0,6.0,48060.0,80.63,0.0004
CRAY,Cray,1.558,2834.0,0.0054,2.319,0.3093,0.039,2684914.0,3.0,78319.0,19.4,0.1149
CRD.A,Crawford & Co,3.161,8292.0,0.2377,10.22,7.661,0.0712,3682733.0,5.0,54248.0,9.71,0.3051
CREE,Cree,1.295,9800.0,-0.0429,0.6212,-3.747,0.0402,1224.0,5.0,28780.0,29.46,0.1784
CRI,Carter's,6.104,30346.0,0.3277,1.801,5.298,0.0676,5656689.0,4.0,45780.0,95.7,0.1008
CRL,Charles River,5.429,18566.0,0.2093,0.6231,3.458,0.0455,3886269.0,8.0,52310.0,109.9,0.1072
CRM,Salesforce.com,8.191,18910.0,-0.0109,1.38,-0.1639,0.0271,4242.0,8.0,69230.0,96.32,0.109
CRMT,America's Car-Mart,1.296,7121.0,0.0856,4.9,6.221,0.0381,6932423.0,4.0,30753.0,41.75,0.1089
CROX,Crocs,10.58,16981.0,-0.0858,7.386,-3.595,0.0523,9462977.0,5.0,69896.0,9.74,0.3039
CRR.UN.TO,Crombie REIT,1.415,7180.0,0.0275,0.028,7.994,-0.2421,9741293.0,4.0,20620.0,13.78,-0.0036
CRS,Carpenter Technology,1.941,9270.0,0.0411,0.3862,2.01,0.0132,4694474.0,6.0,23260.0,49.75,0.346
CRTO,Criteo,4.051,18701.0,0.1149,4.393,2.367,0.04,1168.0,7.0,29510.0,45.2,-0.0628
CRUS,Cirrus Logic,2.985,16172.0,0.2645,1.892,7.904,0.0776,9807909.0,6.0,34640.0,54.3,-0.1324
CRVL,CorVel,7.602,2878.0,0.2176,2.181,2.829,0.0314,4088437.0,8.0,10540.0,56.2,0.1919
CRWOY,China Railway Group,0.8809,23920.0,0.1044,2.982,10.54,0.0415,325.0,4.0,19160.0,20.97,0.0402
CRY,Cryolife,3.611,3290.0,0.054,2.339,1.353,0.0088,2062551.0,8.0,79100.0,23.65,0.2005
CS,Credit Suisse Group,0.9004,14890.0,-0.038,1.124,-4.033,0.3791,2512.0,7.0,40980.0,16.05,0.0693
CSBK,Clifton Bancorp,1.272,14890.0,0.017,0.982,1.799,0.0257,616057.0,6.0,36637.0,16.43,-0.0261
CSCO,Cisco Systems,2.527,75460.0,0.1491,3.613,6.101,0.0758,1966.0,5.0,167130.0,33.75,0.0986
CSFL,CenterState Bank,1.818,14890.0,0.0998,0.6088,6.016,0.0319,3507953.0,8.0,16180.0,26.96,0.0862
CSGP,CoStar Group,5.294,18188.0,0.0588,2.769,1.08,0.02,2383951.0,8.0,90880.0,276.91,0.0409
CSGS,CSG Systems International,4.325,9505.0,0.2286,5.297,4.871,0.0531,1337161.0,3.0,13630.0,40.58,0.0037
CSH.UN.TO,Chartwell Retirement,3.661,6716.0,0.024,0.0754,0.6082,0.0094,2145916.0,5.0,28800.0,15.18,-0.0039
CSIQ,Canadian Solar,1.031,16784.0,0.0299,1.221,1.339,0.0033,1143.0,7.0,95597.0,16.53,0.0846
CSL,Carlisle Companies,2.625,31400.0,0.093,1.595,4.717,0.0538,3750933.0,3.0,64900.0,102.74,0.0721
CSS,CSS Industries,0.933,1181.0,0.0871,1.357,9.24,0.0612,2446203.0,6.0,26674.0,29.33,0.1242
CSTE,Caesarstone,2.182,5192.0,0.1438,0.6756,5.892,0.0774,1646174.0,3.0,10190.0,29.7,-0.129
CSU.TO,Constellation Software,22.48,29577.0,0.5029,12.59,2.128,0.0445,3651163.0,8.0,15030.0,709.43,0.0749
CSUAY,China Shenhua Energy Co,1.21,36500.0,0.1214,0.1699,12.12,0.0415,132147.0,9.0,49920.0,10.04,0.1501
CSV,Carriage Services,2.272,1867.0,0.1192,0.2048,4.583,0.0584,125591.0,5.0,42686.0,25.53,-0.0391
CSVI,Computer Services,3.889,14890.0,0.1916,1.702,4.677,0.0537,261537.0,8.0,66094.0,47.25,-0.0042
CSW.A.TO,Corby Spirit and Wine,3.422,2637.0,0.1483,2.809,4.223,0.0401,74058.0,6.0,60667.0,21.31,0.0028
CSWC,Capital Southwest,0.9623,14890.0,0.093,1.109,9.549,-0.3458,331357.0,7.0,27659.0,17.28,0.0726
CSX,CSX,4.126,2150.0,0.1534,0.0936,4.027,0.0149,5657.0,9.0,47810.0,52.35,-0.041
CTAS,Cintas,6.169,73935.0,0.2531,1.21,2.941,0.0374,6203966.0,6.0,15830.0,149.08,0.2049
CTB,Cooper Tire & Rubber,1.685,13084.0,0.1794,0.8115,9.823,-0.0033,5214473.0,4.0,19130.0,36.65,0.0338
CTBI,Community Trust Bancorp,1.608,14890.0,0.0934,0.9869,6.817,0.0761,3194903.0,7.0,82805.0,46.85,0.0552
CTC.TO,Canadian Tire Corp,3.311,11510.0,0.1467,0.8396,4.336,0.0284,10543.0,8.0,15680.0,228.8,-0.0052
CTL,CenturyLink,0.84,2200.0,0.0276,0.2364,3.45,0.039,9250.0,2.0,10990.0,20.0,-0.1632
CTLT,Catalent,7.317,21520.0,0.1713,0.628,2.332,0.0298,1564.0,9.0,52940.0,42.29,0.2007
CTO,Consolidated-Tomoka Land,2.172,1398.0,0.1988,0.067,8.569,-0.2293,97751.0,5.0,34616.0,61.5,0.1091
CTRE,CareTrust REIT,2.338,2980.0,0.0609,0.034,3.082,-0.1275,5337645.0,8.0,14220.0,18.73,0.0325
CTRL,Control4,4.938,3142.0,0.077,8.9,1.37,0.0306,5151435.0,10.0,74741.0,30.07,0.5605
CTRN,Citi Trends,1.376,6402.0,0.061,2.66,4.471,0.0563,8855303.0,4.0,28214.0,20.53,-0.0096
CTRP,Ctrip.com International,2.478,77140.0,0.0153,1.141,0.6023,0.0092,4482.0,6.0,28590.0,55.71,0.0486
CTS,CTS,1.231,3579.0,0.067,1.255,4.658,0.0379,727794.0,7.0,83651.0,25.4,0.1925
CTTAY,Continental,3.002,31140.0,0.1866,1.024,5.711,0.0366,3027013.0,6.0,50600.0,50.6,0.1689
CTWS,Connecticut Water Service,2.717,14890.0,0.0935,0.0435,3.129,-0.0346,3588597.0,7.0,70656.0,61.04,0.1137
CTXS,Citrix Systems,6.399,58392.0,0.2164,2.702,4.294,0.0652,1456.0,6.0,12040.0,79.47,0.0102
CU.TO,Canadian Utilities,2.172,81700.0,0.1344,0.0569,5.52,0.0462,2254586.0,6.0,10480.0,38.77,-0.0613
CUB,Cubic,2.167,8351.0,-0.0466,3.46,-2.141,-0.0063,1663171.0,3.0,14340.0,52.85,0.1489
CUBE,CubeSmart,2.91,9374.0,0.0654,0.0415,2.275,0.0227,1617.0,4.0,47010.0,26.09,0.1178
CUBI,Customers Bancorp,1.444,14890.0,0.1463,6.336,10.47,0.243,1415261.0,5.0,10010.0,32.56,0.1393
CUDA,Barracuda Networks,132.01,7053.0,-2.186,3.036,0.7333,0.0449,6845941.0,5.0,13720.0,25.91,0.1465
CUF.UN.TO,Cominar REIT,0.6624,10949.0,0.0606,0.0265,11.15,0.0035,4345879.0,4.0,25400.0,13.78,0.0584
CUK,Carnival,2.023,25020.0,0.1157,0.1622,5.79,0.05,3369105.0,9.0,48910.0,65.46,-0.0038
CUNB,CU Bancorp,1.996,14890.0,0.0954,8.273,4.542,0.0378,6179533.0,8.0,68012.0,38.15,0.0553
CUP.U.TO,Caribbean Utilities Co,1.964,2022.0,0.1062,0.0889,5.208,0.0281,190343.0,7.0,43529.0,13.25,-0.0178
CURN,Currency Exchange Intl,2.216,14890.0,0.0743,11.43,3.142,-0.0452,7157.0,4.0,12309.0,19.73,0.1134
CUTR,Cutera,10.17,2105.0,0.1205,19.84,1.12,0.0152,179566.0,10.0,61272.0,43.75,0.6603
CUZ,Cousins Properties,1.434,7753.0,0.0991,0.0323,3.093,-0.0269,2414.0,3.0,39730.0,9.46,0.0861
CVA,Covanta Holding,5.699,10500.0,-0.0616,0.1373,1.324,-0.0415,9058155.0,4.0,19720.0,15.05,0.1402
CVBF,CVB Financial,2.462,14890.0,0.1074,1.718,4.733,0.0456,4016769.0,7.0,26120.0,23.71,0.0599
CVCO,Cavco Industries,3.376,4197.0,0.1157,3.611,3.204,0.0236,5029357.0,8.0,13650.0,151.35,0.1889
CVCY,Central Valley Community,1.49,14890.0,0.0905,1.951,6.733,0.0737,4354557.0,8.0,26389.0,21.61,-0.0279
CVE.TO,Cenovus Energy,0.7516,60800.0,0.2035,0.1608,19.75,0.0858,3964.0,2.0,14810.0,12.05,0.3126
CVG,Convergys,1.768,26010.0,0.107,2.388,5.642,0.0733,8045295.0,3.0,24110.0,25.85,0.0921
CVG.TO,Clairvest Group,1.024,14890.0,0.09,-1.599,8.791,0.0234,174017.0,8.0,54608.0,35.94,0.0093
CVGW,Calavo Growers,5.183,2485.0,0.1599,2.594,2.826,0.0007,1592259.0,7.0,12840.0,73.25,0.0892
CVI,CVR Energy,3.046,2990.0,0.0281,0.545,1.019,0.1394,5983668.0,9.0,23850.0,27.47,0.3
CVLT,CommVault Systems,5.761,14431.0,0.0052,1.26,0.0783,0.0303,2559211.0,7.0,28520.0,62.65,0.1238
CVLY,Codorus Valley Bancorp,1.663,14890.0,0.0917,0.715,6.683,0.0546,110355.0,8.0,26847.0,31.76,0.116
CVS,CVS Health,2.29,69350.0,0.1509,4.539,6.513,0.1176,5435.0,3.0,78190.0,76.92,-0.0227
CVTI,Covenant Transportation,2.166,8667.0,0.0449,0.3556,2.022,-0.0349,1370611.0,8.0,51370.0,28.09,0.596
CVX,Chevron,1.517,11490.0,0.0398,0.1924,2.632,0.0157,5007.0,6.0,221770.0,117.03,0.1272
CW,Curtiss-Wright,3.474,19877.0,0.1505,1.456,4.058,0.0555,2397906.0,5.0,48400.0,109.66,0.1944
CWB.TO,Canadian Western Bank,1.375,14890.0,0.1026,3.292,7.274,-0.1916,5133407.0,8.0,29530.0,33.42,0.2074
CWCO,Consolidated Water Co,1.313,6486.0,0.0202,0.2049,4.437,0.0518,502959.0,4.0,19296.0,12.95,0.0486
CWGL,Crimson Wine Group,1.219,7785.0,0.0183,0.12,1.512,-0.0287,1268827.0,8.0,25389.0,10.58,-0.0249
CWQXF,Castellum,1.138,10392.0,0.2371,1.109,7.889,0.0543,904512.0,6.0,41120.0,15.05,0.0522
CWT,California Water Service,2.946,10700.0,0.0883,0.0897,2.859,-0.044,1352055.0,7.0,19500.0,40.6,0.1033
CWX.TO,CanWel Building Materials,1.389,3919.0,0.0694,2.086,3.979,-0.0484,1257586.0,5.0,42571.0,6.28,0.0145
CWYCY,China Railway,0.8712,20710.0,0.1124,3.527,14.92,0.0415,217953.0,6.0,17370.0,12.79,-0.0207
CXO,Concho Resources,2.298,40300.0,0.0824,0.0475,0.8926,-0.0603,1046.0,3.0,20060.0,134.91,0.1079
CXP,Columbia Property Trust,1.028,5276.0,0.0555,0.0249,0.4987,0.0337,6397672.0,3.0,25750.0,21.24,-0.0406
CXW,CoreCivic,2.073,12850.0,0.1454,0.1551,7.071,0.0845,6899177.0,9.0,30340.0,25.67,-0.0618
CY,Cypress Semiconductor,2.797,23618.0,-0.069,2.039,-1.342,0.0374,5160.0,7.0,51570.0,15.51,0.1601
CYAGF,CyberAgent,5.618,25382.0,0.0565,10.31,1.446,0.0,2867.0,6.0,39140.0,31.14,-0.013
CYBR,CyberArk Software,4.386,4748.0,0.0937,11.34,1.829,0.04,5127328.0,2.0,14680.0,42.65,-0.1233
CYD,China Yuchai Intl,0.8024,10972.0,0.0885,1.109,11.41,0.0415,645854.0,9.0,92131.0,22.63,0.2279
CYJBF,Cargotec Oyj,1.959,24459.0,0.0863,2.794,5.82,0.0595,4333.0,8.0,31350.0,48.6,0.0
CZAVF,CEZ,0.8341,85667.0,0.0647,0.1099,8.312,0.0747,2183.0,3.0,91890.0,17.2,0.0
CZFS,Citizens Financial Servs,1.647,14890.0,0.1046,0.7291,8.736,0.0923,28163.0,7.0,21047.0,60.25,0.1347
CZNC,Citizens & Northern,1.626,14890.0,0.084,0.9329,6.07,0.0511,2015317.0,6.0,30880.0,25.36,0.0719
D,Dominion Energy,3.296,22150.0,0.1471,0.0549,4.492,-0.0253,2377.0,5.0,49360.0,76.81,0.0144
D.UN.TO,Dream Office REIT,0.7944,7150.0,-0.0155,1.109,7.827,0.0379,4206843.0,8.0,17460.0,21.17,0.1177
DAKT,Daktronics,2.282,4465.0,0.0655,2.616,2.722,0.0369,1511309.0,5.0,47091.0,10.66,0.1335
DAL,Delta Air Lines,2.794,65080.0,0.2941,0.4301,9.729,0.034,8299.0,8.0,37660.0,52.01,-0.0434
DAN,Dana,3.676,27600.0,0.7064,1.088,16.98,0.0152,1116.0,9.0,41130.0,28.43,0.2715
DAR,Darling Ingredients,1.306,19558.0,0.0422,0.5751,3.229,0.0566,1488.0,7.0,26970.0,16.38,0.0334
DASTY,Dassault Systemes SE,5.973,75852.0,0.123,5.444,1.93,0.0281,188791.0,7.0,25900.0,102.34,0.1544
DATA,Tableau Software,7.956,18622.0,-0.1931,2.226,-2.481,0.0298,6080701.0,7.0,61200.0,77.38,0.2629
DBD,Diebold Nixdorf,2.919,23780.0,-0.4453,2.93,-15.95,-0.0036,7091037.0,2.0,17140.0,22.7,0.1127
DBOEY,Deutsche Boerse,3.888,67611.0,0.1736,6.158,4.216,-0.0078,1402159.0,8.0,19830.0,10.98,0.0101
DBSDY,DBS Group Holdings,1.199,14890.0,0.097,2.219,30.64,0.2442,3069217.0,8.0,40430.0,63.27,0.0609
DCI,Donaldson,7.081,22950.0,0.293,1.394,3.755,0.0393,5115296.0,8.0,60200.0,46.34,0.0225
DCM,NTT DOCOMO,1.695,58770.0,0.1173,0.4507,6.972,0.0801,1555207.0,3.0,84320.0,22.76,-0.0232
DCO,Ducommun,1.757,2619.0,0.0649,1.307,3.725,0.0562,4990227.0,7.0,38475.0,33.99,0.0709
DCOM,Dime Community Bancshares,1.426,14890.0,0.0609,1.812,4.879,0.0342,1586524.0,5.0,82757.0,22.1,0.1276
DCT,DCT Industrial Trust,2.844,7977.0,0.0494,0.0289,1.068,-0.0236,4678225.0,7.0,54730.0,58.8,0.1249
DDC.TO,Dominion Diamond,0.8877,4093.0,-0.0049,0.161,-3.005,-0.0989,961307.0,9.0,14580.0,17.8,0.0927
DDD,3D Systems,2.366,8067.0,-0.0535,1.853,-2.376,0.0154,1790.0,3.0,15330.0,13.47,-0.2445
DDR,DDR,1.195,17029.0,-0.0179,0.0334,2.99,0.0434,3433.0,2.0,32550.0,8.85,-0.0221
DDS,Dillard's,0.966,45676.0,0.0757,0.8369,7.31,0.1901,6147961.0,5.0,15480.0,53.35,-0.0539
DE,Deere,4.802,25430.0,0.2597,0.6595,4.659,0.0137,2425.0,9.0,41170.0,128.13,0.0243
DECK,Deckers Outdoor,2.495,9062.0,0.0239,0.9423,0.9404,0.0898,3830862.0,5.0,22800.0,71.25,0.0727
DEI,Douglas Emmett,3.068,13587.0,0.0472,0.0275,1.169,-0.0814,7931384.0,5.0,65250.0,40.06,0.0632
DEIPY,Rio Paranapanema Energia,1.393,6173.0,0.2302,0.1225,16.29,0.2074,0.0,1.0,84707.0,8.97,0.0
DEL,Deltic Timber,4.443,1751.0,0.034,0.5341,0.7506,0.0049,7911657.0,6.0,11200.0,91.93,0.2717
DELTY,Delta Galil Industries,1.707,12410.0,0.1299,2.066,7.986,0.056,0.0,4.0,71108.0,28.0,-0.0979
DF,Dean Foods,1.617,46738.0,0.0926,1.705,7.104,0.079,1471.0,2.0,98370.0,10.82,-0.3382
DFRG,Del Frisco's Restaurant,1.409,1848.0,0.0567,0.4005,3.758,0.0074,1459937.0,3.0,31480.0,14.9,-0.0449
DFS,Discover Financial,2.288,14890.0,0.2149,3.174,8.806,0.1732,2424.0,5.0,24480.0,65.75,0.0743
DG,Dollar General,3.86,17910.0,0.2233,2.303,5.502,0.0446,3138.0,5.0,21950.0,80.33,0.1471
DGC.TO,Detour Gold,1.0,5732.0,0.0144,0.0873,1.414,0.0459,9665825.0,2.0,24650.0,14.11,-0.0242
DGI,DigitalGlobe,1.807,15600.0,0.0052,0.1177,0.1972,0.0436,8299259.0,8.0,21410.0,34.4,0.0299
