Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
AD.TO,Alaris Royalty,1.146,14890.0,0.0943,37.39,8.342,0.1032,130093.0,6.0,73909.0,20.28,-0.1027
ADBE,Adobe Systems,9.118,15780.0,0.208,1.976,2.14,0.0342,2453.0,9.0,74490.0,151.12,0.0737
ADC,Agree Realty,1.769,2513.0,0.0858,0.0271,4.549,-0.2098,1647197.0,6.0,14040.0,49.02,0.0708
ADDYY,adidas,6.514,27780.0,0.1569,2.632,2.717,0.0211,6868867.0,9.0,45760.0,112.9,0.1275
ADERY,Aida Engineering,0.7998,3280.0,0.0912,0.7554,11.56,-0.071,0.0,4.0,49921.0,80.92,0.0
ADI,Analog Devices,3.256,76662.0,0.0956,1.311,2.378,0.0264,2577.0,8.0,32310.0,87.87,0.1363
ADM,Archer-Daniels Midland,1.389,88700.0,0.0794,1.516,5.632,0.0887,2728.0,4.0,24190.0,43.0,0.0462
ADN.TO,Acadian Timber,1.211,3762.0,0.0555,0.1378,4.762,0.056,61316.0,6.0,32224.0,19.26,0.025
ADOOY,Adaro Energy,1.315,31508.0,0.1387,0.2117,9.322,-0.0696,24.0,9.0,43440.0,6.79,0.1489
ADP,Automatic Data Processing,12.68,12180.0,0.4202,4.005,3.121,0.0324,2994.0,7.0,50430.0,113.48,0.0971
ADRNY,Koninklijke Ahold,1.33,47200.0,0.0806,1.423,4.943,0.16,216514.0,3.0,22770.0,18.52,-0.0185
ADSK,Autodesk,81.26,42720.0,-0.7467,3.308,-2.242,-0.0025,2150.0,9.0,25640.0,116.96,0.1461
ADTN,Adtran,2.398,8463.0,0.0814,2.203,2.882,0.0167,2854486.0,7.0,11590.0,24.25,0.2095
ADUS,Addus HomeCare,2.475,2851.0,0.1026,14.54,3.911,0.0081,298182.0,9.0,41616.0,35.8,-0.0466
ADW.A.TO,Andrew Peller,2.731,3393.0,0.1493,0.7394,4.355,0.012,29991.0,6.0,49877.0,11.71,0.0588
AE,Adams Resources & Energy,1.314,5642.0,-0.0229,8.196,-1.256,0.0759,482367.0,4.0,19481.0,46.19,0.1146
AEGN,Aegion,1.261,7977.0,0.0824,2.246,5.559,0.0408,225118.0,6.0,74112.0,22.45,0.0126
AEIS,Advanced Energy Indus,6.854,8714.0,0.3979,11.71,4.514,0.0505,3371083.0,9.0,33270.0,83.29,0.2747
AEL,American Equity Inv,0.9964,14890.0,0.0759,1.109,18.37,0.6876,5560745.0,9.0,26420.0,29.71,0.1165
AEM.TO,Agnico Eagle Mines,2.108,33351.0,0.0548,0.1086,2.546,0.0203,7353919.0,4.0,13290.0,57.46,0.0072
AEO,American Eagle Outfitters,2.15,29265.0,0.1546,1.182,7.503,0.0519,4135.0,2.0,24170.0,13.65,0.1667
AEP,American Electric Power,1.974,23850.0,0.0324,0.0765,7.318,-0.0165,2228.0,7.0,35180.0,71.53,0.0364
AER,AerCap Holdings,0.9967,14890.0,0.1341,0.0404,12.63,-0.0811,7821365.0,7.0,84930.0,51.97,0.1157
AET,Aetna,3.477,44070.0,0.0937,27.07,2.84,0.0336,1729.0,8.0,53560.0,161.28,0.0588
AF.TO,AlarmForce Industries,2.749,6576.0,0.3639,0.6766,6.105,-0.0283,23765.0,5.0,10896.0,9.5,-0.1122
AFG,American Financial Group,1.751,14890.0,0.1548,1.109,8.433,0.1248,3957127.0,8.0,93000.0,105.66,0.0488
AFGVY,Agfa-Gevaert,2.936,23436.0,0.2133,3.198,7.86,0.0707,0.0,8.0,77586.0,9.25,-0.0713
AFH,Atlas Financial Holdings,1.72,1656.0,0.0243,4.586,-0.3623,-0.0023,288568.0,4.0,23881.0,19.85,0.4179
AFL,Aflac,1.512,14890.0,0.1247,12.25,8.047,0.1886,1747.0,6.0,32520.0,82.27,0.0611
AFN.TO,Ag Growth International,2.749,4930.0,0.074,0.7128,3.268,-0.0067,536328.0,8.0,83130.0,51.85,-0.0915
AFSI,AmTrust Financial Servs,0.9834,14890.0,0.0949,3.549,27.94,0.134,1364.0,1.0,27040.0,13.81,-0.0644
AGCO,AGCO,2.065,47540.0,0.064,1.568,3.14,0.0242,4840847.0,9.0,60040.0,75.48,0.1128
AGI.TO,Alamos Gold,1.058,2933.0,-0.0073,0.069,-0.7535,-0.0073,8494511.0,5.0,27710.0,8.86,0.0091
AGII,Argo Group International,1.004,14890.0,0.0944,1.109,9.277,0.0863,1420646.0,5.0,18990.0,63.0,0.037
AGMA,Federal Agricultural,1.681,14890.0,0.2117,1.109,9.538,0.3212,16457.0,9.0,80061.0,75.5,0.1705
AGO,Assured Guaranty,0.6621,14890.0,0.1748,1.109,23.52,0.0215,9940535.0,9.0,44690.0,37.54,-0.1253
AGPDY,Amer Sports,3.029,31916.0,0.1362,3.008,4.418,0.03,19717.0,3.0,29990.0,12.85,0.0078
AGR,Avangrid,0.9668,10890.0,0.0446,0.0604,4.471,-0.0354,3653484.0,7.0,14720.0,47.64,0.0957
AGRO,Adecoagro,1.955,4134.0,0.0414,0.2775,0.7279,0.0865,5956289.0,4.0,12830.0,10.62,0.0971
AGT.TO,AGT Food and Ingredients,1.92,3187.0,-0.0327,1.06,-1.93,-0.0864,667707.0,3.0,55259.0,22.8,-0.0323
AGU.TO,Agrium,2.14,20540.0,0.0924,0.9262,4.633,0.0479,3112229.0,6.0,18330.0,132.65,0.1313
AGX,Argan,3.065,5141.0,0.2926,17.76,8.024,0.1646,1375796.0,8.0,10580.0,68.05,0.1476
AHEXY,Adecco Group,3.208,12000.0,0.2115,35.25,6.313,0.0682,1853967.0,8.0,13060.0,38.32,0.0178
AHH,Armada Hoffler Properties,2.687,2064.0,0.1242,0.1064,2.079,-0.0381,2817011.0,5.0,62591.0,13.93,0.0917
AHKSY,Asahi Kasei,1.67,13940.0,0.1629,0.9413,10.0,0.0578,787797.0,9.0,17200.0,24.63,0.1607
AHL,Aspen Insurance Holdings,0.6804,14890.0,0.0534,7.725,8.56,0.0332,850664.0,3.0,24630.0,41.15,-0.1939
AHP,Ashford Hospitality Prime,0.876,4299.0,0.0491,0.0964,-0.7476,-0.7385,2447761.0,2.0,32336.0,10.12,0.012
AHT,Ashford Hospitality Trust,0.8995,15529.0,-0.1072,0.095,-19.83,-0.0639,4814981.0,5.0,67227.0,6.9,0.15
AI.TO,Atrium Mortgage Inv,1.156,14890.0,0.094,1.109,7.971,0.0714,6104833.0,6.0,36377.0,12.05,-0.0155
AIF.TO,Altus Group,3.034,14890.0,0.3114,4.884,9.645,0.033,758725.0,6.0,12730.0,33.2,0.1973
AIMC,Altra Industrial Motion,3.656,7213.0,0.1089,1.229,3.471,0.0392,200854.0,9.0,13480.0,46.0,0.1856
AIN,Albany International,3.406,6305.0,0.0784,0.4903,2.439,-0.0175,1136908.0,8.0,18330.0,57.1,0.0683
AIPUY,Airports Of Thailand,7.507,14890.0,0.1742,0.1472,2.2,0.022,30693.0,9.0,28110.0,19.68,0.3791
AIR,AAR,1.455,6450.0,0.0646,2.196,3.784,-0.0226,2348224.0,7.0,13450.0,38.85,0.1087
AIRYY,Air China,1.024,72267.0,0.0929,0.1626,9.147,0.0415,22028.0,7.0,12240.0,16.85,-0.1609
AIT,Applied Industrial,3.39,19611.0,0.1929,6.344,5.231,0.0576,1757396.0,7.0,25260.0,65.0,0.1036
AIV,Apartment Inv & Mgmt,5.091,16170.0,0.1362,0.0451,0.51,-0.0392,8246989.0,5.0,69720.0,44.4,0.0384
AIZ,Assurant,1.225,14890.0,0.1018,4.545,8.049,0.07,4752184.0,5.0,51750.0,96.04,-0.0779
AJG,Arthur J. Gallagher,2.894,49060.0,0.1211,4.098,4.042,0.0466,8538797.0,7.0,11130.0,61.76,0.0805
AJINY,Ajinomoto,1.963,85078.0,0.1458,0.6828,7.434,0.0219,82857.0,3.0,11010.0,19.34,-0.0838
AJRD,Aerojet Rocketdyne Hldgs,21.11,7570.0,2.51,1.287,1.464,0.064,1048.0,9.0,26320.0,35.05,0.6432
AKAM,Akamai Technologies,2.64,39426.0,0.0952,0.7246,3.487,0.0513,1646.0,3.0,86790.0,50.63,0.0257
AKAO,Achaogen,3.61,14890.0,-1.157,0.1275,-21.23,-0.1213,6260648.0,10.0,64448.0,15.26,-0.3339
AKBTY,Akbank,1.077,14890.0,0.1631,1.567,15.5,0.0397,2409477.0,6.0,10600.0,5.3,-0.0364
AKO.B,Embotelladora Andina,3.654,24448.0,0.2153,0.6103,6.496,0.0447,3497287.0,8.0,45500.0,28.84,0.1148
AKR,Acadia Realty Trust,1.577,4166.0,0.0356,0.0213,2.153,-0.2325,5327254.0,3.0,24760.0,29.6,0.0858
AKRRF,Philly Shipyard,1.229,14890.0,0.5265,0.9365,32.33,-0.1596,9123.0,3.0,13246.0,10.94,0.1396
AKRX,Akorn,4.632,10297.0,0.1488,0.7521,3.731,0.0476,2074.0,8.0,41010.0,32.83,-0.02
AKT.A.TO,Akita Drilling,0.6052,3354.0,-0.0832,0.0883,-14.88,-0.1612,40695.0,4.0,12544.0,6.99,-0.0265
AL,Air Lease,1.255,14890.0,0.1114,0.03,7.975,-0.2254,5795477.0,8.0,44650.0,43.26,0.1402
ALA.TO,AltaGas,1.402,26750.0,0.0459,0.0801,2.355,0.0235,4426242.0,4.0,48520.0,28.39,-0.032
ALB,Albemarle,4.03,27209.0,0.2507,0.3073,2.054,0.0149,1342.0,9.0,15160.0,137.19,0.2697
ALC.TO,Algoma Central,0.7505,3181.0,0.0594,0.1757,-0.8224,0.0189,674193.0,6.0,47319.0,12.16,-0.0463
ALCO,Alico,1.558,1501.0,0.035,0.1377,1.706,0.0297,1504863.0,7.0,28145.0,34.1,0.1273
ALE,ALLETE,1.978,20420.0,0.0885,0.0943,4.25,0.025,1953896.0,8.0,39900.0,78.31,0.0999
ALEX,Alexander & Baldwin,1.854,2850.0,0.0071,0.0797,2.095,0.0138,4031774.0,6.0,22490.0,45.75,0.1235
ALFVY,Alfa Laval,4.67,33811.0,0.0858,1.812,1.878,0.0438,3335633.0,9.0,10400.0,24.79,0.2075
ALG,Alamo Group,2.983,5468.0,0.1146,2.162,3.586,0.058,5372973.0,9.0,12620.0,108.49,0.1822
